epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,168.286,0.9546,0.64708,1.00072,0.94431,0.90957,0.96005,0.70942,0.95368,0.59338,0.99883,0.0011882,0.0011882,0.0011882
43,172.128,0.95269,0.65114,1.00066,0.9377,0.89272,0.94905,0.6716,0.99499,0.61537,1.032,0.0011684,0.0011684,0.0011684
44,176.051,0.91565,0.63598,0.98091,0.9466,0.90805,0.9629,0.69876,0.91221,0.58728,0.98675,0.0011486,0.0011486,0.0011486
45,179.906,0.95538,0.64743,1.00519,0.92734,0.93103,0.97222,0.69203,0.95982,0.58583,1.01406,0.0011288,0.0011288,0.0011288
46,183.743,0.91112,0.62972,0.98228,0.94579,0.88889,0.96298,0.68881,0.97908,0.57963,1.03391,0.001109,0.001109,0.001109
47,187.521,0.91573,0.62333,0.97836,0.93748,0.90805,0.95847,0.68618,0.97898,0.58084,1.0258,0.0010892,0.0010892,0.0010892
48,191.43,0.89029,0.61904,0.98279,0.92635,0.91565,0.96672,0.70633,0.91045,0.56636,0.98258,0.0010694,0.0010694,0.0010694
49,195.193,0.8939,0.61818,0.97349,0.93894,0.94636,0.97031,0.70741,0.89663,0.5527,0.98517,0.0010496,0.0010496,0.0010496
50,198.93,0.87922,0.60881,0.96968,0.94445,0.91194,0.96604,0.70073,0.92083,0.57374,1.0111,0.0010298,0.0010298,0.0010298
51,202.81,0.88414,0.60644,0.97298,0.91658,0.89272,0.93551,0.67967,0.94659,0.61981,1.02069,0.00101,0.00101,0.00101
52,206.661,0.86263,0.58863,0.95964,0.94216,0.93619,0.97023,0.69471,0.97549,0.5645,1.03162,0.0009902,0.0009902,0.0009902
53,210.442,0.87218,0.58294,0.95273,0.91992,0.94253,0.96975,0.69694,0.9627,0.56363,1.02921,0.0009704,0.0009704,0.0009704
54,214.654,0.87969,0.58752,0.96167,0.96105,0.94534,0.97012,0.70935,0.92145,0.53964,0.99735,0.0009506,0.0009506,0.0009506
55,218.842,0.89133,0.58978,0.97386,0.93651,0.9272,0.96672,0.68035,0.961,0.56242,1.00774,0.0009308,0.0009308,0.0009308
56,222.952,0.86096,0.60212,0.95078,0.94227,0.93805,0.96988,0.70888,0.9213,0.54602,1.01273,0.000911,0.000911,0.000911
57,227.138,0.84389,0.57551,0.95161,0.95649,0.92658,0.97707,0.70166,0.91433,0.54278,1.0087,0.0008912,0.0008912,0.0008912
58,231.379,0.84171,0.57965,0.95953,0.92866,0.94769,0.97195,0.70651,0.93934,0.5299,1.00748,0.0008714,0.0008714,0.0008714
59,235.466,0.85176,0.57597,0.96402,0.97824,0.93487,0.97925,0.70658,0.93209,0.54001,0.9996,0.0008516,0.0008516,0.0008516
60,239.53,0.84979,0.57774,0.95749,0.9447,0.9164,0.96307,0.68624,0.9712,0.56614,1.05244,0.0008318,0.0008318,0.0008318
61,243.65,0.86016,0.57796,0.95535,0.96418,0.9387,0.97505,0.71157,0.93264,0.54327,1.01336,0.000812,0.000812,0.000812
62,247.807,0.84017,0.56101,0.94834,0.94959,0.96169,0.97733,0.70185,0.92651,0.51506,1.01831,0.0007922,0.0007922,0.0007922
63,251.849,0.82834,0.54965,0.94439,0.9675,0.91257,0.96733,0.71503,0.93232,0.53083,0.99931,0.0007724,0.0007724,0.0007724
64,256.041,0.81061,0.54232,0.93386,0.95342,0.94101,0.97496,0.71499,0.92107,0.52036,1.00075,0.0007526,0.0007526,0.0007526
65,260.223,0.82249,0.54874,0.95319,0.92855,0.94601,0.96252,0.70266,0.93462,0.53266,1.0037,0.0007328,0.0007328,0.0007328
66,264.432,0.78712,0.53057,0.93713,0.9744,0.93487,0.96815,0.72306,0.8995,0.51056,0.99178,0.000713,0.000713,0.000713
67,268.652,0.8207,0.53084,0.94175,0.96485,0.94642,0.97325,0.71926,0.92571,0.50979,0.99148,0.0006932,0.0006932,0.0006932
68,272.759,0.78878,0.53406,0.93292,0.95323,0.93697,0.97358,0.71349,0.89702,0.50914,0.99143,0.0006734,0.0006734,0.0006734
69,276.869,0.79347,0.53433,0.93861,0.97264,0.95356,0.97771,0.7328,0.88562,0.50236,0.98078,0.0006536,0.0006536,0.0006536
70,280.975,0.80281,0.53036,0.94015,0.94989,0.94411,0.97763,0.72373,0.88212,0.50724,0.99338,0.0006338,0.0006338,0.0006338
71,285.16,0.79784,0.52304,0.9365,0.94608,0.94636,0.97089,0.71846,0.91648,0.49568,1.00592,0.000614,0.000614,0.000614
72,289.333,0.78563,0.53134,0.93182,0.95757,0.94253,0.97096,0.72162,0.88848,0.50478,0.99388,0.0005942,0.0005942,0.0005942
73,293.419,0.7839,0.52199,0.92694,0.96849,0.94223,0.9753,0.7226,0.87586,0.48251,0.99102,0.0005744,0.0005744,0.0005744
74,297.63,0.77284,0.51379,0.91508,0.96123,0.95003,0.97072,0.72717,0.86807,0.49001,0.98457,0.0005546,0.0005546,0.0005546
75,301.749,0.7664,0.51311,0.91905,0.95691,0.95019,0.97012,0.73338,0.85906,0.47848,0.98099,0.0005348,0.0005348,0.0005348
76,305.859,0.74887,0.49286,0.92378,0.95858,0.95402,0.97784,0.73484,0.83903,0.47397,0.97401,0.000515,0.000515,0.000515
77,309.916,0.74389,0.49477,0.91392,0.95749,0.94931,0.97288,0.72204,0.8672,0.49473,0.9887,0.0004952,0.0004952,0.0004952
78,314.153,0.75199,0.50198,0.92208,0.96121,0.9387,0.97094,0.72735,0.85753,0.48349,0.98875,0.0004754,0.0004754,0.0004754
79,318.368,0.75305,0.50456,0.92251,0.96459,0.9393,0.97016,0.71249,0.89652,0.50594,1.01065,0.0004556,0.0004556,0.0004556
80,322.456,0.78616,0.51571,0.92385,0.97176,0.93103,0.9719,0.72297,0.88257,0.48868,0.99279,0.0004358,0.0004358,0.0004358
81,326.618,0.77949,0.50664,0.92838,0.95594,0.95019,0.977,0.7193,0.89418,0.481,0.99335,0.000416,0.000416,0.000416
