epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,171.427,0.81116,0.57333,0.96704,0.97843,0.935,0.94781,0.69269,0.94448,0.53248,1.12824,0.0011684,0.0011684,0.0011684
44,174.93,0.84749,0.59696,0.97768,0.95428,0.9392,0.95751,0.71201,0.9964,0.55868,1.0931,0.0011486,0.0011486,0.0011486
45,178.318,0.82193,0.5825,0.95985,0.95285,0.94,0.95032,0.70509,1.00911,0.56344,1.10744,0.0011288,0.0011288,0.0011288
46,181.848,0.81467,0.57494,0.96115,0.95416,0.93,0.96398,0.71229,0.94513,0.52128,1.10269,0.001109,0.001109,0.001109
47,185.33,0.80292,0.56116,0.96895,0.96611,0.94,0.97075,0.70324,0.99253,0.51069,1.16837,0.0010892,0.0010892,0.0010892
48,188.899,0.81653,0.56835,0.95989,0.96055,0.925,0.95248,0.66753,1.01984,0.58283,1.16091,0.0010694,0.0010694,0.0010694
49,192.267,0.81252,0.55468,0.95373,0.9585,0.91,0.95031,0.66923,1.02298,0.54964,1.16728,0.0010496,0.0010496,0.0010496
50,195.786,0.79979,0.55399,0.95485,0.95859,0.935,0.95488,0.67021,1.08213,0.57125,1.23231,0.0010298,0.0010298,0.0010298
51,199.219,0.81106,0.55858,0.95643,0.96544,0.935,0.95815,0.69363,1.03919,0.56907,1.16458,0.00101,0.00101,0.00101
52,202.761,0.77123,0.53423,0.95005,0.97811,0.945,0.96109,0.71921,0.97622,0.5315,1.13877,0.0009902,0.0009902,0.0009902
53,206.165,0.77579,0.53677,0.94535,0.94943,0.93877,0.94905,0.70827,1.02502,0.54921,1.19022,0.0009704,0.0009704,0.0009704
54,209.62,0.74891,0.53099,0.93147,0.96408,0.93935,0.95708,0.73339,1.00751,0.51604,1.11361,0.0009506,0.0009506,0.0009506
55,213.118,0.74832,0.52366,0.93669,0.96441,0.94848,0.95595,0.7225,0.99862,0.50259,1.13508,0.0009308,0.0009308,0.0009308
56,216.731,0.76728,0.54471,0.95566,0.94662,0.955,0.95328,0.71348,0.98477,0.48988,1.10612,0.000911,0.000911,0.000911
57,220.245,0.75018,0.52672,0.93415,0.97352,0.96,0.96811,0.72848,1.07452,0.49314,1.16804,0.0008912,0.0008912,0.0008912
58,223.723,0.78864,0.5333,0.95131,0.95934,0.955,0.97045,0.73342,0.94261,0.49118,1.04064,0.0008714,0.0008714,0.0008714
59,227.3,0.73101,0.51411,0.93444,0.95156,0.96,0.97284,0.7422,0.91726,0.47254,1.01888,0.0008516,0.0008516,0.0008516
60,230.784,0.77481,0.52585,0.94764,0.98336,0.93,0.96791,0.73435,0.9456,0.49564,1.05666,0.0008318,0.0008318,0.0008318
61,234.386,0.73044,0.50636,0.93272,0.97209,0.945,0.96274,0.72794,0.93153,0.48735,1.06114,0.000812,0.000812,0.000812
62,237.702,0.73066,0.50296,0.92261,0.97886,0.92621,0.96096,0.67606,1.04827,0.51504,1.1723,0.0007922,0.0007922,0.0007922
63,241.024,0.75647,0.50837,0.93258,0.96918,0.94351,0.96518,0.71883,0.91907,0.48067,1.07507,0.0007724,0.0007724,0.0007724
64,244.354,0.73995,0.50815,0.92822,0.97915,0.93928,0.97545,0.74209,0.84953,0.47087,0.98313,0.0007526,0.0007526,0.0007526
65,247.771,0.7229,0.49713,0.92966,0.98116,0.935,0.97644,0.73707,0.86346,0.47667,1.00326,0.0007328,0.0007328,0.0007328
66,250.924,0.73417,0.50204,0.94304,0.9917,0.945,0.97896,0.75948,0.82988,0.44608,0.99079,0.000713,0.000713,0.000713
67,254.291,0.72131,0.48844,0.92834,0.98586,0.945,0.97245,0.73818,0.97105,0.45293,1.15952,0.0006932,0.0006932,0.0006932
68,257.657,0.71853,0.47907,0.92825,0.96629,0.965,0.97033,0.75453,0.92325,0.45616,1.06644,0.0006734,0.0006734,0.0006734
69,260.765,0.69117,0.47016,0.91813,0.95587,0.955,0.97009,0.74343,1.01035,0.47099,1.12375,0.0006536,0.0006536,0.0006536
70,263.963,0.71394,0.47669,0.93014,0.97233,0.93,0.96536,0.73242,0.97839,0.47792,1.09992,0.0006338,0.0006338,0.0006338
71,267.211,0.68403,0.47231,0.91056,0.96656,0.925,0.96153,0.74755,0.91899,0.48787,1.03888,0.000614,0.000614,0.000614
72,270.483,0.68742,0.47262,0.91905,0.97391,0.93324,0.96767,0.74394,0.8837,0.4486,1.01096,0.0005942,0.0005942,0.0005942
73,273.928,0.6864,0.47423,0.92979,0.95468,0.965,0.97411,0.73277,0.89529,0.4691,1.02847,0.0005744,0.0005744,0.0005744
74,277.186,0.68654,0.47202,0.91343,0.96806,0.94,0.96948,0.73846,0.87603,0.44142,1.02542,0.0005546,0.0005546,0.0005546
75,280.45,0.68444,0.4652,0.91483,0.96663,0.94,0.9665,0.73175,0.91072,0.44796,1.05247,0.0005348,0.0005348,0.0005348
76,283.83,0.69445,0.47733,0.93091,0.97446,0.95383,0.96886,0.71701,0.99232,0.46142,1.17502,0.000515,0.000515,0.000515
77,287.241,0.68479,0.4669,0.93321,0.9596,0.955,0.972,0.72196,0.98887,0.45473,1.14276,0.0004952,0.0004952,0.0004952
78,290.561,0.6852,0.46153,0.9171,0.97921,0.94216,0.96649,0.7267,1.01262,0.45314,1.15044,0.0004754,0.0004754,0.0004754
79,294.288,0.69388,0.47378,0.91454,0.97461,0.945,0.9701,0.74225,0.98406,0.44363,1.10099,0.0004556,0.0004556,0.0004556
80,299.288,0.67774,0.466,0.92277,0.96444,0.94922,0.95977,0.73748,0.93155,0.49065,1.03739,0.0004358,0.0004358,0.0004358
81,303.444,0.6477,0.44728,0.90637,0.98111,0.94,0.96459,0.73845,0.96351,0.4722,1.08928,0.000416,0.000416,0.000416
82,307.162,0.67685,0.45817,0.90904,0.97384,0.93076,0.9571,0.72066,0.9972,0.48228,1.12505,0.0003962,0.0003962,0.0003962
83,310.67,0.67294,0.45895,0.91236,0.97173,0.94,0.96508,0.7372,0.95653,0.44815,1.09631,0.0003764,0.0003764,0.0003764
84,314.104,0.67207,0.44885,0.91516,0.96477,0.95842,0.97229,0.74235,0.95341,0.43658,1.08323,0.0003566,0.0003566,0.0003566
85,317.394,0.64811,0.453,0.91075,0.96931,0.94762,0.97051,0.73016,0.97872,0.45357,1.1054,0.0003368,0.0003368,0.0003368
86,320.743,0.64742,0.44096,0.90031,0.96784,0.955,0.96962,0.72389,1.00087,0.44147,1.12504,0.000317,0.000317,0.000317
87,324.283,0.6504,0.43595,0.90489,0.96948,0.955,0.96644,0.7297,0.94911,0.44822,1.08162,0.0002972,0.0002972,0.0002972
88,327.592,0.63436,0.4316,0.89966,0.95989,0.95737,0.96894,0.72955,0.90676,0.44146,1.0666,0.0002774,0.0002774,0.0002774
89,331.007,0.65573,0.44186,0.90644,0.95602,0.955,0.96732,0.73155,0.91438,0.45446,1.0655,0.0002576,0.0002576,0.0002576
90,334.672,0.64,0.43665,0.90221,0.96405,0.93869,0.97135,0.72255,0.9478,0.45625,1.10095,0.0002378,0.0002378,0.0002378
91,358.353,0.56268,0.37955,0.86937,0.97339,0.94,0.96913,0.72292,0.97017,0.45485,1.10555,0.000218,0.000218,0.000218
92,362.455,0.54499,0.3617,0.86353,0.97977,0.94,0.96667,0.72655,0.96448,0.43226,1.13794,0.0001982,0.0001982,0.0001982
93,366.681,0.52973,0.3532,0.85887,0.96812,0.95,0.96133,0.71768,1.0096,0.45007,1.18798,0.0001784,0.0001784,0.0001784
94,370.342,0.55293,0.3549,0.86746,0.97411,0.94075,0.96706,0.7252,1.03313,0.46098,1.18585,0.0001586,0.0001586,0.0001586
95,373.702,0.51076,0.33379,0.84821,0.96918,0.94346,0.96539,0.72831,1.01907,0.44365,1.18364,0.0001388,0.0001388,0.0001388
96,377.195,0.53749,0.34622,0.85189,0.96363,0.95,0.96649,0.73464,1.00323,0.44063,1.1637,0.000119,0.000119,0.000119
97,380.414,0.50974,0.33031,0.85338,0.97911,0.93756,0.96825,0.7465,1.00438,0.43809,1.15398,9.92e-05,9.92e-05,9.92e-05
98,383.466,0.51553,0.33008,0.85753,0.96463,0.95461,0.96857,0.7463,1.00834,0.43352,1.15917,7.94e-05,7.94e-05,7.94e-05
99,386.484,0.50641,0.32852,0.84588,0.96692,0.955,0.9691,0.73771,1.02544,0.43837,1.17666,5.96e-05,5.96e-05,5.96e-05
100,389.56,0.50467,0.3327,0.84718,0.96807,0.96,0.96642,0.73415,1.0361,0.43817,1.18419,3.98e-05,3.98e-05,3.98e-05
